Unnamed:_0,Wedding_Type,Place,Cost_of_Type,Clothes_Bride,Clothes_Groom,Photography,Decor,Decor_Category,Entertainment,Entertainment_Category,Giftsper_piece,Gifts_Category,Invitations_Cards,Cards_Category
1060,8,0,3434959,135426,107239,157045,513410,1,411806,0,2004,1,578,0
1061,0,19,5074001,667031,337146,279452,417223,1,32470,2,4760,2,59,3
1062,1,18,2171208,62636,41617,42895,356617,0,355757,0,1758,3,796,0
1063,8,19,1849180,88540,77915,119740,120868,3,466391,0,3260,1,348,1
1064,4,17,7214093,130410,121871,28359,463570,1,200517,3,4501,2,484,1
1065,4,0,7626207,168164,103407,167395,248785,0,115986,3,893,0,622,0
1066,2,19,23263,30006,7529,58565,454381,1,26153,1,544,0,77,3
1067,4,11,7709449,229579,73472,142851,343526,0,250802,0,1619,3,744,0
1068,8,5,1643817,193471,92875,233084,123259,3,173537,3,2259,1,534,0
1069,2,19,39070,26414,6217,37532,249135,0,146066,3,3499,1,751,0
1070,5,8,11120494,742334,641724,139401,235674,0,477487,0,4820,2,519,0
1071,4,6,5125676,173290,145336,177249,413306,1,407846,0,1337,3,250,1
1072,5,9,7800732,599832,220789,119367,328109,0,423902,0,3485,1,992,2
1073,2,3,27645,27572,8543,103026,599540,1,42602,2,1307,3,443,1
1074,1,5,2559487,85364,34085,188672,285539,0,413835,0,4320,2,727,0
1075,1,14,3032076,89260,42970,285653,363821,0,423485,0,4039,2,210,1
1076,1,11,3021347,58570,90577,20639,482663,1,169848,3,2706,1,987,2
1077,1,19,3093974,80715,92347,272745,136764,3,497396,0,1802,3,407,1
1078,2,8,32035,23584,7789,195216,359822,0,446175,0,1799,3,310,1
1079,3,1,1503757,174262,46725,280324,311764,0,208310,3,677,0,656,0
1080,1,19,3401403,94071,49181,256151,386453,0,91975,2,4531,2,507,0
1081,1,16,3568980,85271,79870,149844,253727,0,324470,0,3477,1,319,1
1082,1,18,3724960,82392,46230,226925,254370,0,172808,3,1326,3,947,2
1083,2,14,64417,15667,7795,178168,140487,3,162481,3,680,0,639,0
1084,7,3,5914920,656355,468351,249603,519420,1,368135,0,4593,2,329,1
1085,1,14,2098295,57365,74760,176168,62577,3,195161,3,2162,1,965,2
1086,7,5,6848527,611589,579750,244238,513151,1,476359,0,3890,1,107,1
1087,4,10,4650972,158372,130385,35336,123966,3,93338,2,572,0,497,1
1088,5,7,11513799,252924,90029,155867,194609,3,312383,0,4100,2,164,1
1089,0,3,4657322,667806,272156,65436,85532,3,287546,0,2933,1,569,0
1090,8,8,2628184,166033,50826,115431,514622,1,444880,0,2238,1,757,0
1091,8,9,2913229,200471,110500,23003,532669,1,26028,1,1505,3,698,0
1092,0,4,3220154,548224,253623,299579,176408,3,312242,0,2089,1,318,1
1093,7,0,8019748,515805,105286,267582,243046,0,97230,2,3306,1,276,1
1094,6,12,977183,77359,466393,137360,198775,3,475376,0,4888,2,114,1
1095,1,17,2400536,53766,92604,109429,571815,1,104578,3,2140,1,224,1
1096,3,9,2357474,176848,76756,205868,225428,0,429969,0,1790,3,737,0
1097,4,8,6226747,156099,115362,34255,95613,3,197491,3,676,0,519,0
1098,3,11,4724933,76623,56521,221443,61573,3,47253,2,3566,1,231,1
1099,6,12,834811,62202,588260,77757,126841,3,368077,0,2494,1,816,2
1100,5,17,9589734,932789,568638,54048,386089,0,425204,0,2646,1,308,1
1101,5,7,6995363,696975,119128,207651,321604,0,139284,3,4328,2,226,1
1102,4,17,4493348,121432,92878,118393,499981,1,241410,3,1059,3,722,0
1103,3,7,4693957,103049,71080,291340,312855,0,467881,0,2643,1,969,2
1104,2,10,98870,15167,7523,270235,565855,1,397442,0,4993,2,524,0
1105,2,1,47547,15372,9538,147719,469420,1,67581,2,2801,1,428,1
1106,3,2,3730012,196960,84351,242826,546688,1,210945,3,4641,2,127,1
1107,0,18,4772969,571259,114509,33614,437894,1,303250,0,2321,1,981,2
1108,0,13,5698764,650316,154750,113554,474720,1,491071,0,2038,1,112,1
1109,6,15,311819,88618,129882,30562,252831,0,392750,0,1134,3,583,0
1110,0,8,5356181,675770,217445,213534,544003,1,123256,3,909,0,180,1
1112,4,19,6107697,246118,140226,131705,139038,3,146088,3,3573,1,647,0
1113,6,7,407389,96796,263419,261521,61488,3,429624,0,1449,3,117,1
1114,0,2,4410629,532549,186881,57159,177323,3,141944,3,1400,3,193,1
1116,3,9,2257902,191145,84894,184463,536798,1,281069,0,3141,1,270,1
1117,5,19,11924412,768537,324767,104255,300342,0,57727,2,3712,1,560,0
1118,4,8,7710417,112334,89950,67678,201245,0,251368,0,3927,1,952,2
1119,7,12,8796235,866374,319850,90891,501575,1,398543,0,2084,1,850,2
1120,4,7,7347014,115183,113631,232554,431864,1,95924,2,3761,1,338,1
1121,7,11,6376678,504149,241185,75151,90990,3,47564,2,4390,2,695,0
1122,3,0,2691104,91082,52250,242967,439739,1,430092,0,4179,2,641,0
1123,3,0,2473564,92489,74440,34203,280649,0,128823,3,1123,3,140,1
1124,6,6,496441,56674,481926,105305,72958,3,55700,2,3039,1,719,0
1125,5,16,8246404,172845,372209,31624,346396,0,347513,0,2316,1,180,1
1126,4,14,7062224,135374,135049,150589,573373,1,63246,2,3552,1,815,2
1127,7,17,6368316,722733,461291,129611,124669,3,213513,3,4732,2,316,1
1128,0,3,4506178,659454,329310,114719,228633,0,383717,0,2502,1,719,0
1129,4,13,4642324,105384,123056,168245,519087,1,101459,3,2852,1,75,3
1130,3,13,2341673,144676,62443,205400,562764,1,154814,3,823,0,545,0
1131,0,14,4392981,659735,384243,282984,74175,3,339678,0,4998,2,809,2
1132,0,5,5973382,512989,181494,136306,411094,1,430405,0,3702,1,333,1
1133,0,7,5447996,609131,300785,221881,455424,1,192716,3,2896,1,235,1
1134,4,3,4789906,162336,80028,190120,126119,3,251797,0,4453,2,948,2
1135,6,4,362548,89444,472238,98943,327705,0,111982,3,1125,3,390,1
1136,4,7,3683467,148674,126776,212043,561667,1,273439,0,2541,1,365,1
1137,5,11,7461628,991691,492789,196657,208997,0,452866,0,1163,3,945,2
1138,4,16,7913129,194556,84029,216897,503502,1,30325,2,3811,1,447,1
1139,5,18,5853784,448644,340096,21540,312600,0,368932,0,2169,1,430,1
1140,4,14,4202947,213393,102974,82578,341585,0,92866,2,2455,1,914,2
1141,3,3,2689290,138204,93002,299554,354448,0,121450,3,1415,3,182,1
1142,0,13,4379245,600521,190274,188040,184494,3,39614,2,3822,1,487,1
1143,4,6,6579579,245001,141789,37926,585287,1,33964,2,1984,3,560,0
1144,3,19,2392285,81982,69682,290712,208173,0,341574,0,2176,1,81,3
1145,0,7,5850517,663542,278117,54383,581883,1,109692,3,1774,3,422,1
1146,4,15,7454024,168831,133506,117284,255249,0,196694,3,867,0,120,1
1147,0,13,5482627,516297,253849,25951,84553,3,262694,0,1312,3,806,2
1148,1,4,2940118,71225,44631,101375,301647,0,80004,2,3343,1,370,1
1149,2,11,49567,17604,5051,170604,185740,3,112922,3,3767,1,415,1
1150,0,17,3245727,583404,229371,141375,178574,3,349306,0,3616,1,582,0
1151,7,13,6525312,356030,425147,111238,476766,1,414183,0,1172,3,486,1
1152,3,2,4150585,88728,43117,30285,68453,3,268073,0,3177,1,692,0
1153,8,15,1737552,70883,86450,254914,180857,3,395159,0,1711,3,943,2
1154,6,5,541669,59614,314713,184363,82530,3,441593,0,1234,3,651,0
1155,8,8,2460070,170270,64494,269536,164624,3,28218,1,1151,3,933,2
1156,5,13,8366504,638108,599014,54714,225663,0,339169,0,771,0,810,2
1157,4,5,5252841,202175,130699,290815,220181,0,303657,0,4300,2,418,1
1158,8,15,1522391,67431,73507,215240,371554,0,384371,0,1857,3,704,0
1159,1,18,2123290,77094,67115,217423,360726,0,236310,3,4527,2,394,1
1160,7,1,6314368,635355,535492,85412,125432,3,68480,2,4086,2,495,1
1161,1,18,3636307,82089,36695,241251,490014,1,363484,0,4777,2,752,0
1162,7,9,5848445,832039,207414,126806,228031,0,190466,3,1563,3,968,2
1163,7,9,7024980,757894,446594,31256,498708,1,222458,3,1107,3,844,2
1164,6,13,308745,96849,540503,206126,541221,1,480434,0,2527,1,404,1
1165,5,3,8670712,814308,322715,232597,363146,0,224429,3,4971,2,181,1
1166,1,10,3827126,53983,46365,133497,232631,0,254976,0,675,0,698,0
1167,8,18,1942232,93624,42739,64348,561655,1,263166,0,2346,1,95,3
1168,4,5,4312742,101227,83174,196493,395866,0,387253,0,3089,1,848,2
1169,1,16,2061587,54368,83874,25778,58784,2,413320,0,4699,2,505,0
1170,4,3,5657224,213357,86359,183598,548827,1,239753,3,4841,2,519,0
1171,4,10,6716439,197218,145752,133508,84915,3,49868,2,3184,1,116,1
1172,2,15,18133,26179,12425,36398,153325,3,422612,0,1396,3,131,1
1173,2,10,87707,29787,7597,211048,226556,0,270089,0,704,0,96,3
1174,0,3,5944767,512028,278819,270865,348524,0,84956,2,4826,2,557,0
1175,2,7,66333,28810,8150,43256,461592,1,274316,0,4745,2,538,0
1176,2,19,33582,29327,12325,299875,422223,1,364366,0,1409,3,723,0
1177,8,6,3336373,76504,31047,55298,281215,0,247301,3,1741,3,726,0
1178,7,11,8413620,842163,481811,184177,122932,3,179411,3,1413,3,478,1
1180,5,4,7179003,597086,244970,214048,330446,0,458419,0,1288,3,718,0
1181,3,0,1797894,188270,31685,155648,393454,0,105684,3,2553,1,181,1
1182,6,7,266246,79082,534457,178745,329821,0,466063,0,1251,3,175,1
1183,8,0,2678866,75219,74898,117833,241430,0,116821,3,2539,1,186,1
1184,0,14,5810400,507807,366062,262375,536703,1,91406,2,4366,2,317,1
1186,8,13,3330911,189259,60610,198159,593595,1,218267,3,1084,3,376,1
1187,4,0,6917793,158327,80932,140504,531904,1,235101,3,3427,1,369,1
1188,7,12,6657329,862541,310802,159556,491091,1,494392,0,4767,2,117,1
1189,1,11,3011241,86125,46341,51235,313857,0,372620,0,4812,2,609,0
1190,8,15,2565946,113212,91501,139966,542298,1,494330,0,4625,2,814,2
1191,4,8,7793854,116955,82206,237800,343120,0,218512,3,2017,1,517,0
1192,6,1,276179,74958,340959,289919,63111,3,272905,0,1576,3,70,3
1193,3,0,4913670,145822,80857,248328,581482,1,158111,3,685,0,183,1
1194,7,18,6981361,646462,112095,71959,428316,1,381405,0,1726,3,290,1
1195,8,2,3445982,151877,107573,31441,109789,3,166078,3,1285,3,221,1
1196,0,5,5902236,639646,311402,58905,96903,3,442764,0,2104,1,355,1
1198,1,5,1599751,59300,85388,180262,74408,3,46459,2,3333,1,509,0
1199,1,2,2217075,69809,76637,148962,244203,0,404656,0,1969,3,246,1
1200,2,13,37345,23039,7954,220702,542272,1,247236,3,4401,2,392,1
1201,4,16,6466677,220390,79514,115478,57830,2,124605,3,3656,1,502,0
1202,4,6,3963318,205729,83956,49245,199742,3,68149,2,4977,2,953,2
1203,2,4,92732,17716,7696,141200,169171,3,57012,2,1918,3,188,1
1204,5,1,7029632,496423,172652,92276,209710,0,368919,0,2939,1,61,3
1205,1,2,3152922,59036,42843,277117,596241,1,447314,0,2853,1,826,2
1206,0,13,3928856,638810,302265,103534,472605,1,371710,0,1162,3,178,1
1207,0,0,5521146,559550,215041,260866,549190,1,87969,2,3696,1,52,3
1208,1,16,2903542,81906,81399,111783,313039,0,475794,0,2736,1,255,1
1209,6,7,550840,77619,196289,208858,479634,1,295313,0,2982,1,690,0
1210,5,17,10620570,816754,386972,219591,223035,0,254198,0,1074,3,640,0
1211,3,14,1904034,110132,94506,193599,402295,1,204021,3,3962,1,249,1
1212,3,5,2183842,115297,33793,195698,472735,1,360636,0,2349,1,136,1
1213,5,1,8003222,746078,455392,230952,499095,1,268847,0,3155,1,645,0
1214,3,17,3357181,171586,79954,165128,98528,3,180943,3,1923,3,936,2
1215,3,6,3146262,155983,38638,250276,387264,0,68183,2,1338,3,323,1
1216,4,4,5858622,153032,105003,181797,456871,1,329742,0,4034,2,737,0
1217,1,15,2747658,62928,78116,33722,552237,1,92808,2,2695,1,358,1
1218,5,14,10726246,231634,611388,227968,576183,1,388623,0,503,0,323,1
1219,7,2,5647220,321915,376552,130906,447927,1,402564,0,1679,3,576,0
1220,4,7,7095995,142819,122705,254368,111986,3,119687,3,3462,1,599,0
1222,7,10,8380469,308029,412327,143424,71271,3,199096,3,4868,2,154,1
1223,3,10,1892832,110678,45010,190626,153477,3,95437,2,958,0,397,1
1224,6,13,530504,94718,33487,48802,199624,3,72650,2,2811,1,760,0
1225,0,3,5574816,575556,270910,105313,290804,0,139142,3,2081,1,303,1
1226,8,19,2279533,137426,62714,242432,156533,3,224019,3,1310,3,892,2
1227,5,18,9763753,271248,133087,86432,251599,0,256344,0,4472,2,604,0
1228,2,7,53862,27707,7297,213003,422758,1,320982,0,3258,1,589,0
1229,3,15,4472317,142756,88143,139815,270760,0,292887,0,1189,3,199,1
1230,7,18,7130536,754741,116977,121188,164759,3,170455,3,2546,1,82,3
1231,3,6,3907599,165666,43106,46248,158594,3,320020,0,745,0,782,0
1232,0,12,4932222,670524,398865,230676,199927,3,142318,3,3973,1,956,2
1233,7,8,8002265,664890,107423,264735,173395,3,200288,3,1417,3,143,1
1234,3,14,2123635,125748,93636,179815,463917,1,108376,3,4598,2,185,1
1235,7,16,7196684,571941,253784,85904,533085,1,471460,0,4540,2,72,3
1236,6,1,906155,67820,205542,50512,231898,0,404713,0,4082,2,749,0
1237,5,15,11103641,728978,406252,99823,148357,3,186619,3,2033,1,884,2
1239,7,6,7895503,846832,116936,178075,413384,1,369592,0,3669,1,873,2
1240,6,7,553124,85883,196174,285882,243714,0,61587,2,668,0,740,0
1241,6,15,443708,84238,33425,56776,450527,1,228493,3,3141,1,935,2
1242,0,7,5072203,696143,201872,206834,282604,0,83114,2,4884,2,152,1
1243,1,9,3955832,63901,56825,249196,338311,0,59302,2,1187,3,330,1
1244,4,1,7422789,100235,116794,240923,56034,2,78227,2,1133,3,163,1
1246,4,0,5665382,189733,114966,212579,415375,1,177758,3,4331,2,476,1
1247,3,7,2284712,112585,43031,96501,401965,1,260933,0,513,0,888,2
1248,5,1,7270923,680774,144006,297925,445463,1,340164,0,910,0,621,0
1249,5,16,8949407,675926,285198,195477,369163,0,146866,3,2080,1,554,0
1250,8,18,1795072,64455,57547,244093,485843,1,163028,3,693,0,296,1
1251,4,1,7434229,223248,125925,69480,525939,1,175390,3,1753,3,114,1
1252,8,18,2410528,128293,95539,121596,225928,0,225133,3,2479,1,139,1
1253,3,2,1581426,83274,45496,259178,113950,3,495633,0,4337,2,715,0
1254,5,10,8689892,647406,486696,165959,551681,1,364795,0,2227,1,799,0
1255,2,9,97433,30352,9520,120147,144500,3,64813,2,1247,3,151,1
1256,4,15,7822388,138731,124562,195120,108701,3,429222,0,3070,1,234,1
1257,0,6,3783674,531565,190385,147546,297836,0,201752,3,3355,1,73,3
1258,1,7,2813483,67973,33493,208747,537414,1,432526,0,2736,1,449,1
1259,3,10,3055955,112174,35936,194238,245162,0,139903,3,4936,2,585,0
1260,3,2,3893575,118368,26191,275183,147033,3,34128,2,4062,2,279,1
1261,7,18,8769794,214054,598024,206173,265322,0,478831,0,4938,2,854,2
1262,4,19,5640308,223770,76745,89794,107365,3,468727,0,2465,1,371,1
1263,4,9,6778616,237234,108306,110415,494818,1,150691,3,1482,3,382,1
1264,1,8,2814649,60963,36222,35045,136359,3,364647,0,2649,1,133,1
1265,3,13,2974649,154761,60130,123669,542970,1,318920,0,2567,1,720,0
1266,6,6,549860,67492,119222,177173,204924,0,146174,3,614,0,694,0
1267,5,11,6850526,562563,589132,27169,587603,1,221651,3,4004,2,207,1
1268,4,9,6389561,157442,89255,70748,578652,1,431626,0,4040,2,657,0
1269,8,0,1696105,133963,147868,93921,386471,0,462173,0,1887,3,517,0
1270,5,11,7647449,625199,591700,235550,563642,1,133704,3,4877,2,855,2
1271,8,11,1750971,61685,102934,22188,300182,0,247145,3,4021,2,700,0
1272,2,12,40589,29842,12408,159084,98339,3,277696,0,3989,1,611,0
1273,6,18,700292,66508,33109,236546,278943,0,380143,0,1356,3,781,0
1274,6,9,561960,90433,226652,224011,280663,0,114675,3,4655,2,561,0
1275,3,9,3654207,102262,73248,147637,453934,1,277843,0,3417,1,993,2
1276,8,3,1992536,102368,69935,88844,407268,1,416725,0,1699,3,487,1
1277,6,5,991512,84811,233865,140736,547500,1,237674,3,2951,1,352,1
1278,4,13,5529168,233955,122669,86454,317627,0,280189,0,2368,1,406,1
1279,3,4,1568245,114002,98087,222627,101233,3,316540,0,4339,2,971,2
1280,3,12,3684481,180687,66722,238689,158053,3,343393,0,2225,1,60,3
1281,1,8,1540207,69751,46815,141116,78754,3,260680,0,1274,3,115,1
1282,4,3,6347853,151297,112959,142631,210325,0,371367,0,3651,1,238,1
1283,8,11,2747257,190477,26105,148195,262109,0,67097,2,2166,1,192,1
1284,8,11,1771255,158864,52591,233526,132036,3,368243,0,2265,1,182,1
1285,4,0,5355830,100293,87944,161779,524269,1,155724,3,1970,3,148,1
1286,3,7,2198836,114185,51210,101942,114875,3,146701,3,1816,3,268,1
1287,1,0,1623547,65362,49497,272759,485558,1,116826,3,4142,2,942,2
1288,3,3,4906712,95506,46159,111778,246619,0,272696,0,2257,1,937,2
1289,0,8,4661222,622541,317388,45276,583031,1,153125,3,4727,2,159,1
1290,6,6,274153,67274,596776,296346,554562,1,267251,0,1120,3,641,0
1291,3,18,1651559,122568,83508,121592,147681,3,75010,2,1215,3,560,0
1292,4,14,5582291,221468,141282,139269,319748,0,71346,2,1544,3,196,1
1293,1,16,2836014,88356,36630,48972,95443,3,443331,0,821,0,922,2
1294,1,12,2956731,75503,42257,64146,388069,0,483002,0,3864,1,686,0
1295,1,17,2386912,80098,50384,116381,292677,0,229058,3,2880,1,348,1
1296,3,10,2822663,163956,48711,222739,576089,1,397192,0,1862,3,609,0
1297,7,8,5661670,769473,103903,230115,445146,1,182363,3,2967,1,750,0
1298,0,5,3327833,541246,389601,57712,415849,1,114854,3,2086,1,938,2
1299,4,17,3792326,196853,88275,169202,140658,3,494032,0,4295,2,140,1
1300,7,13,8597395,731837,228971,111540,471202,1,203206,3,672,0,519,0
1301,0,9,5491807,569654,161015,176500,246732,0,160840,3,1355,3,642,0
1302,0,8,3951290,625712,239268,209902,75507,3,135165,3,1007,3,640,0
1303,8,9,1519365,98510,58562,293734,541729,1,134378,3,3499,1,264,1
1304,2,18,96875,19844,9909,262600,99993,3,245353,3,1919,3,82,3
1305,1,18,3017283,61664,41252,54349,50646,2,140642,3,4657,2,949,2
1306,1,2,2007887,94368,42558,248853,529606,1,220132,3,864,0,459,1
1307,8,3,2669604,53379,82828,67670,296262,0,24621,1,2709,1,268,1
1308,3,2,3083213,89072,93039,155121,554766,1,58946,2,3988,1,565,0
1309,2,3,54595,23844,6734,254496,53868,2,494452,0,1959,3,188,1
1311,2,18,69673,25332,8457,271063,176066,3,57498,2,4684,2,972,2
1312,3,10,4713393,198235,57920,149003,200202,0,333340,0,832,0,540,0
1313,0,6,3997482,699514,401432,293092,570706,1,82887,2,3123,1,488,1
1314,8,1,2103027,195705,42507,279084,137928,3,347468,0,651,0,881,2
1315,0,12,4523356,672842,351629,125269,89656,3,102762,3,2390,1,784,0
1316,7,0,5225733,456245,184005,142544,597859,1,354662,0,2318,1,543,0
1317,2,16,49613,29290,6640,46807,136871,3,152504,3,4250,2,540,0
1318,0,6,3082652,520886,297931,103485,50285,2,456228,0,1110,3,886,2
1319,6,14,827770,56747,65913,20846,505796,1,487548,0,2445,1,583,0
1320,2,6,42125,21892,6472,96349,290328,0,155119,3,3894,1,476,1
1321,1,6,2728552,89954,35371,247429,134987,3,426864,0,4928,2,917,2
1322,7,11,7540171,202573,261508,132508,336585,0,297368,0,2973,1,582,0
1323,0,19,5460415,515617,335218,29354,301470,0,336123,0,1519,3,177,1
1324,1,3,1733966,80210,55888,292579,417665,1,310916,0,4328,2,439,1
1325,3,11,2277943,124658,55397,35297,335941,0,84179,2,1968,3,546,0
1326,6,6,512937,93427,364509,192354,538462,1,327958,0,835,0,869,2
1328,3,4,1991661,182255,47558,145579,233428,0,437940,0,1264,3,586,0
1329,0,0,5122417,655533,196826,27889,53032,2,40301,2,4199,2,502,0
1330,1,0,1646530,58357,74532,67747,443188,1,400818,0,3747,1,255,1
1331,8,3,2358764,112996,104204,181722,358895,0,294080,0,691,0,66,3
1332,7,2,6598860,870427,551794,68621,208345,0,235525,3,1917,3,667,0
1333,0,14,4336367,610203,328418,282073,269867,0,373948,0,3733,1,253,1
1334,3,9,3981759,79630,66396,205764,587338,1,137302,3,2359,1,67,3
1335,0,5,5624136,532312,163401,55474,167504,3,381265,0,4035,2,533,0
1336,6,13,753971,53760,199388,195941,317763,0,132318,3,3777,1,344,1
1337,8,8,2399806,182059,41592,75119,94878,3,55234,2,4430,2,900,2
1338,4,9,7305563,158808,122886,223973,181648,3,403149,0,1273,3,237,1
1339,5,17,9039729,120536,327410,207901,158667,3,47029,2,4889,2,777,0
1340,5,18,9795099,962869,247598,211034,270170,0,322280,0,4742,2,397,1
1341,8,4,2153336,149710,89960,274202,225581,0,398903,0,759,0,863,2
1342,3,10,4420756,119853,46869,261605,119629,3,421151,0,4651,2,867,2
1343,2,8,52552,21804,6690,195824,217614,0,459206,0,3549,1,759,0
1344,1,10,2257270,71082,93371,227750,487142,1,253356,0,4995,2,828,2
1345,5,15,11307089,719327,139064,22838,326559,0,207054,3,2108,1,170,1
1346,2,13,97661,27290,7054,221726,437072,1,347727,0,4233,2,304,1
1347,2,11,19889,19386,8798,169120,441767,1,52082,2,3878,1,959,2
1349,0,10,4174315,602616,256671,114736,587224,1,145129,3,3877,1,255,1
1350,5,9,9208184,626797,81439,50072,114448,3,439340,0,3763,1,844,2
1351,0,4,4196307,599161,101409,217217,472178,1,153486,3,4872,2,654,0
1352,0,11,5665684,657940,181530,210542,589516,1,433951,0,800,0,755,0
1353,0,3,5859336,617585,228002,219105,570272,1,283435,0,4107,2,894,2
1354,6,3,251476,81708,366904,130800,119831,3,162530,3,2153,1,552,0
1355,0,18,5734598,694843,256267,251136,319532,0,248344,3,3900,1,890,2
1357,0,7,3723173,597954,350478,20058,311702,0,202941,3,4710,2,682,0
1358,1,11,2479862,53762,51859,299159,395000,0,313940,0,2237,1,272,1
1359,8,16,2615002,183354,144781,265623,308030,0,217579,3,2280,1,266,1
1360,1,14,1964803,86692,55306,68375,535279,1,163480,3,3841,1,257,1
1361,7,9,8600290,482536,433337,218931,552360,1,200707,3,3427,1,300,1
1362,1,0,3481249,81304,80072,264847,376453,0,477947,0,3114,1,472,1
1363,6,6,594888,57096,200532,204395,419206,1,435404,0,886,0,706,0
1364,3,4,2339015,78724,88459,296303,250896,0,229495,3,3315,1,461,1
1365,4,4,7088509,132227,149086,122079,428294,1,124246,3,861,0,236,1
1366,7,2,6016621,435794,268963,270601,271194,0,154547,3,4249,2,318,1
1367,0,3,4628380,649116,237197,299245,407755,1,267355,0,4350,2,420,1
1368,2,12,26014,15529,11913,258926,214121,0,175398,3,1892,3,613,0
1370,6,12,896006,69341,218674,54215,323827,0,211664,3,3228,1,579,0
1371,0,19,3605259,551987,378781,248448,455999,1,221819,3,1380,3,320,1
1372,0,1,3033558,586406,221617,110145,144530,3,99812,2,4459,2,642,0
1373,8,15,1886051,75587,55584,206628,190628,3,50722,2,4435,2,585,0
1374,1,15,3786116,63707,45359,140461,520963,1,110108,3,542,0,861,2
1375,4,0,3743786,169072,97545,21745,536997,1,163547,3,2110,1,289,1
1376,7,2,7376226,332863,407542,170915,122021,3,144912,3,3547,1,403,1
1377,5,11,7963776,562445,592576,282585,324563,0,157775,3,680,0,914,2
1378,4,4,3893308,148857,88388,89316,577100,1,101187,3,1349,3,162,1
1379,8,17,1661944,172730,34223,141680,379761,0,63910,2,3848,1,102,1
1380,3,8,4335501,109181,83939,212910,510072,1,353872,0,809,0,860,2
1381,4,14,5098116,169566,138759,213060,198531,3,134014,3,685,0,96,3
1382,3,10,2577926,116445,90594,260785,324304,0,385913,0,4851,2,273,1
1383,7,0,7168781,467395,510444,68624,316211,0,60881,2,4161,2,693,0
1384,3,11,3668910,170933,28975,149735,327473,0,376700,0,3178,1,88,3
1385,2,9,54115,29894,7119,47335,366465,0,172645,3,4095,2,823,2
1386,7,1,6267664,821348,244642,153411,125276,3,395609,0,1303,3,960,2
1387,4,4,4972539,130838,109451,226840,565328,1,445557,0,2849,1,413,1
1388,8,19,1502319,134330,44699,145232,200375,0,383002,0,4304,2,780,0
1389,1,11,3718080,64239,82132,279882,504602,1,244682,3,2848,1,417,1
1390,1,5,2240514,94898,53713,239280,388136,0,391108,0,3207,1,722,0
1391,4,5,3743449,246947,147580,152095,458024,1,103806,3,1651,3,592,0
1392,1,7,1643989,57435,68653,272937,489545,1,459461,0,1166,3,993,2
1393,6,11,583137,77752,388515,169593,133049,3,112308,3,3327,1,671,0
1394,7,15,5986817,486603,248274,56146,454535,1,312686,0,1265,3,66,3
1395,6,13,335212,56991,342852,298554,447211,1,484164,0,3123,1,993,2
1396,0,16,5324550,596962,302921,123495,199820,3,483043,0,2918,1,249,1
1397,1,13,1607866,63974,92252,274525,450389,1,43423,2,2060,1,893,2
1398,8,1,3073509,58548,114571,234965,202479,0,83774,2,508,0,203,1
1399,7,0,5597504,266667,120050,85986,122769,3,68472,2,2524,1,846,2
1400,2,10,99708,15290,8939,45902,320640,0,83558,2,3384,1,186,1
1401,5,10,9768895,867793,304529,272801,508451,1,131100,3,1242,3,237,1
1402,7,2,5247506,681456,136793,58623,196099,3,266848,0,4333,2,334,1
1403,5,0,7854430,929335,449795,39498,146873,3,449290,0,4765,2,633,0
1404,7,15,6969163,364394,108336,198936,296286,0,407938,0,4526,2,724,0
1405,7,10,7813808,454025,381694,241251,185606,3,208986,3,4933,2,301,1
1406,8,19,2509108,151007,139088,65129,586610,1,333095,0,3922,1,345,1
1407,6,10,400732,88383,135903,149336,167656,3,274383,0,4733,2,527,0
1408,0,9,5901509,669313,247258,89817,487164,1,193521,3,3146,1,727,0
1409,5,19,6431358,180095,164434,198796,84997,3,480367,0,1592,3,823,2
1410,3,19,4551072,198907,66622,258370,144157,3,112727,3,2100,1,146,1
1411,3,19,4663059,164720,36818,198747,266032,0,272453,0,1882,3,498,1
1412,1,3,3614022,92396,80807,92337,181497,3,477939,0,3033,1,368,1
1413,7,9,5440450,582889,298406,139334,569481,1,70168,2,1003,3,801,2
1414,8,4,2756388,142349,40455,111217,194350,3,22878,1,3863,1,440,1
1415,8,3,2881086,182310,132146,239080,226733,0,380747,0,619,0,541,0
1416,2,17,96960,29017,10511,202550,501562,1,88605,2,3145,1,422,1
1417,6,4,595298,70532,342607,105379,567865,1,183622,3,4379,2,440,1
1418,3,9,1664390,143246,93507,193357,266965,0,285698,0,508,0,716,0
1420,0,15,3654175,548835,311952,198267,495392,1,461110,0,1555,3,998,2
1421,1,7,2736368,73694,62647,47613,303482,0,439930,0,3276,1,201,1
1422,5,12,10615749,459496,85636,230609,205985,0,171815,3,3317,1,156,1
1423,7,11,5973818,736329,317304,281119,494356,1,321989,0,2509,1,728,0
1424,7,13,7512215,858911,538240,273732,586775,1,399418,0,2879,1,83,3
1425,5,13,7533129,182315,528087,124153,283522,0,332084,0,3769,1,92,3
1426,2,11,19649,24961,5543,94727,379991,0,451490,0,3205,1,555,0
1427,4,12,4991575,206891,95735,25877,210971,0,448932,0,2229,1,687,0
1428,8,2,2448971,57452,31428,76510,170365,3,278391,0,2412,1,805,2
1429,2,6,83589,29794,5485,133355,417896,1,90065,2,3612,1,941,2
1430,4,18,5936603,192875,95103,275069,267993,0,267008,0,2866,1,970,2
1431,8,4,1742793,183576,67896,132722,297596,0,198899,3,2669,1,285,1
